image,description,cleaned_description,sentiment,named_entities,category,timestamp
C:/Users/brain/OneDrive/Pictures/image_1.jpg,The image depicts a beautiful horse running across a field against a pink studio backdrop. There are no visible obstacles or hazards. The setting appears safe and serene.,image depicts beautiful horse running across field pink studio backdrop visible obstacles hazards setting appears safe serene,Positive,[],Animal,25-04-2025 08:59
C:/Users/brain/OneDrive/Pictures/image_2.jpg,The image depicts a classic vintage car in a museum against a blue sky with clouds. There are no visible obstacles or hazards. The setting appears safe and serene.,image depicts classic vintage car museum blue sky clouds visible obstacles hazards setting appears safe serene,Positive,[],Object,17-04-2025 06:22
C:/Users/brain/OneDrive/Pictures/image_3.jpg,The image depicts a collection of ancient artifacts against a old brick wall. There are no visible obstacles or hazards. The setting appears safe and serene.,image depicts collection ancient artifacts old brick wall visible obstacles hazards setting appears safe serene,Positive,[],Object,19-04-2025 12:51
C:/Users/brain/OneDrive/Pictures/image_4.jpg,The image depicts a serene river flowing through mountains against a sunny beach setting. There are no visible obstacles or hazards. The setting appears safe and serene.,image depicts serene river flowing mountains sunny beach setting visible obstacles hazards setting appears safe serene,Positive,[],Nature,27-04-2025 00:04
C:/Users/brain/OneDrive/Pictures/image_5.jpg,The image depicts a calm ocean with a setting sun against a golden hour lighting. There are no visible obstacles or hazards. The setting appears safe and serene.,image depicts calm ocean setting sun golden hour lighting visible obstacles hazards setting appears safe serene,Positive,[],Nature,20-04-2025 21:18
C:/Users/brain/OneDrive/Pictures/image_6.jpg,The image depicts a classic vintage car in a museum against a busy urban street. There are no visible obstacles or hazards. The setting appears safe and serene.,image depicts classic vintage car museum busy urban street visible obstacles hazards setting appears safe serene,Positive,[],Object,20-04-2025 04:38
C:/Users/brain/OneDrive/Pictures/image_7.jpg,The image depicts a calm ocean with a setting sun against a pink studio backdrop. There are no visible obstacles or hazards. The setting appears safe and serene.,image depicts calm ocean setting sun pink studio backdrop visible obstacles hazards setting appears safe serene,Positive,[],Nature,23-04-2025 15:12
C:/Users/brain/OneDrive/Pictures/image_8.jpg,The image depicts a calm ocean with a setting sun against a old brick wall. There are no visible obstacles or hazards. The setting appears safe and serene.,image depicts calm ocean setting sun old brick wall visible obstacles hazards setting appears safe serene,Positive,[],Nature,16-04-2025 12:36
C:/Users/brain/OneDrive/Pictures/image_9.jpg,The image depicts a bustling downtown cityscape against a sunny beach setting. There are no visible obstacles or hazards. The setting appears safe and serene.,image depicts bustling downtown cityscape sunny beach setting visible obstacles hazards setting appears safe serene,Positive,[],City,27-04-2025 12:56
C:/Users/brain/OneDrive/Pictures/image_10.jpg,The image depicts a dense jungle full of greenery against a busy urban street. There are no visible obstacles or hazards. The setting appears safe and serene.,image depicts dense jungle full greenery busy urban street visible obstacles hazards setting appears safe serene,Positive,[],Nature,28-04-2025 07:40
C:/Users/brain/OneDrive/Pictures/image_11.jpg,The image depicts a smiling family at the beach against a lush green forest. There are no visible obstacles or hazards. The setting appears safe and serene.,image depicts smiling family beach lush green forest visible obstacles hazards setting appears safe serene,Positive,[],People,24-04-2025 04:27
C:/Users/brain/OneDrive/Pictures/image_12.jpg,The image depicts an elegant Dyson Airwrap product showcase against a blue sky with clouds. There are no visible obstacles or hazards. The setting appears safe and serene.,image depicts elegant dyson airwrap product showcase blue sky clouds visible obstacles hazards setting appears safe serene,Positive,[],Product,26-04-2025 08:03
C:/Users/brain/OneDrive/Pictures/image_13.jpg,The image depicts a smiling family at the beach against a white background. There are no visible obstacles or hazards. The setting appears safe and serene.,image depicts smiling family beach white background visible obstacles hazards setting appears safe serene,Positive,[],People,27-04-2025 10:58
C:/Users/brain/OneDrive/Pictures/image_14.jpg,The image depicts a bustling downtown cityscape against a blue sky with clouds. There are no visible obstacles or hazards. The setting appears safe and serene.,image depicts bustling downtown cityscape blue sky clouds visible obstacles hazards setting appears safe serene,Positive,[],City,27-04-2025 23:04
C:/Users/brain/OneDrive/Pictures/image_15.jpg,The image depicts a scenic sunrise over the skyline against a white background. There are no visible obstacles or hazards. The setting appears safe and serene.,image depicts scenic sunrise skyline white background visible obstacles hazards setting appears safe serene,Positive,[],City,22-04-2025 17:03
C:/Users/brain/OneDrive/Pictures/image_16.jpg,The image depicts a child riding a bicycle in the park against a busy urban street. There are no visible obstacles or hazards. The setting appears safe and serene.,image depicts child riding bicycle park busy urban street visible obstacles hazards setting appears safe serene,Positive,"[('park busy', 'PERSON')]",People,26-04-2025 23:57
C:/Users/brain/OneDrive/Pictures/image_17.jpg,The image depicts a playful puppy chasing a ball against a white background. There are no visible obstacles or hazards. The setting appears safe and serene.,image depicts playful puppy chasing ball white background visible obstacles hazards setting appears safe serene,Positive,[],Animal,18-04-2025 18:21
